#nfr ene gross_mass volume density
# eV amu A3 g/cm3
0 -131213.88086759276 7927.080000000041 34770.90517779541 0.37857012800660683
1 -131213.10716631552 7927.080000000041 34770.90517779541 0.37857012800660683
2 -131214.72632528923 7927.080000000041 34770.90517779541 0.37857012800660683
3 -131215.1346865268 7927.080000000041 34770.90517779541 0.37857012800660683
4 -131212.49635238203 7927.080000000041 34770.90517779541 0.37857012800660683
5 -131214.74042078608 7927.080000000041 34770.90517779541 0.37857012800660683
6 -131214.40980247222 7927.080000000041 34770.90517779541 0.37857012800660683
7 -131213.78298824502 7927.080000000041 34770.90517779541 0.37857012800660683
8 -131216.00716512746 7927.080000000041 34770.90517779541 0.37857012800660683
9 -131213.87632329165 7927.080000000041 34770.90517779541 0.37857012800660683
10 -131214.77076147907 7927.080000000041 34770.90517779541 0.37857012800660683
11 -131214.3386719148 7927.080000000041 34770.90517779541 0.37857012800660683
12 -131215.08886255638 7927.080000000041 34770.90517779541 0.37857012800660683
13 -131213.52845296043 7927.080000000041 34770.90517779541 0.37857012800660683
14 -131214.03224452116 7927.080000000041 34770.90517779541 0.37857012800660683
15 -131215.27536938136 7927.080000000041 34770.90517779541 0.37857012800660683
16 -131215.32560159598 7927.080000000041 34770.90517779541 0.37857012800660683
17 -131215.2707162347 7927.080000000041 34770.90517779541 0.37857012800660683
18 -131215.20045644158 7927.080000000041 34770.90517779541 0.37857012800660683
19 -131215.3873986487 7927.080000000041 34770.90517779541 0.37857012800660683
20 -131200.73825899404 7927.080000000041 34770.90517779541 0.37857012800660683
21 -131201.8048908185 7927.080000000041 34770.90517779541 0.37857012800660683
22 -131201.2387851887 7927.080000000041 34770.90517779541 0.37857012800660683
23 -131199.129358712 7927.080000000041 34770.90517779541 0.37857012800660683
24 -131202.74890814733 7927.080000000041 34770.90517779541 0.37857012800660683
25 -131201.18923325872 7927.080000000041 34770.90517779541 0.37857012800660683
26 -131200.63058354807 7927.080000000041 34770.90517779541 0.37857012800660683
27 -131199.48623601132 7927.080000000041 34770.90517779541 0.37857012800660683
28 -131200.2994482179 7927.080000000041 34770.90517779541 0.37857012800660683
29 -131198.4879047603 7927.080000000041 34770.90517779541 0.37857012800660683
30 -131199.31134844723 7927.080000000041 34770.90517779541 0.37857012800660683
31 -131202.62226636684 7927.080000000041 34770.90517779541 0.37857012800660683
32 -131200.59741287117 7927.080000000041 34770.90517779541 0.37857012800660683
33 -131198.45326466864 7927.080000000041 34770.90517779541 0.37857012800660683
34 -131203.3450279335 7927.080000000041 34770.90517779541 0.37857012800660683
35 -131205.3086830269 7927.080000000041 34770.90517779541 0.37857012800660683
36 -131200.5102275973 7927.080000000041 34770.90517779541 0.37857012800660683
37 -131203.55531750797 7927.080000000041 34770.90517779541 0.37857012800660683
38 -131203.42119259693 7927.080000000041 34770.90517779541 0.37857012800660683
39 -131203.73238198273 7927.080000000041 34770.90517779541 0.37857012800660683
40 -131190.76281057397 7927.080000000041 34770.90517779541 0.37857012800660683
